review_text,review_stars,title
"I really like the structure of Ace the Data Science Interview. When I need to brush up on a specific aspect to prepare for an interview, I just go directly to the chapter and it summarizes the important checkpoint for a specific topic and also incorporates the interview questions from easy to hard. The way the book is written is like someone is talking to you so it is also very readable. Recommend this to prepare for a ds/quant interview!",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"Ace the Data Science Interview is a game-changer for data scientists at any level. From foundational concepts to advanced strategies, this book covers it all. Clear explanations, relevant examples, and practical tips make it accessible for beginners while challenging the seasoned pros. A must-have guide that caters to everyone in the data science field. Highly recommended!",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"The book is really great with detailed steps. I feel the book can be considered as revision book because even if you read one time it will be beneficial anytime you pick up and read.My favourite part for the book was Product Sense as I have failed so many interviews with respect to product sense, I really enjoyed reading from other perspective.",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"It was very helpful to know all aspects of the data science interview. The problem explanations are very good, and covers everything you need to know for the interview!! Greatly recommend this resource for anyone interviewing :)",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
Helpful book! The topics are very suitable for interview prep and they could serve as a knowledge refresher for the reader. The sample answers are very clear and explain the thought process.,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
I enjoyed this book and learned a lot. I like how the chapters are split up in logical ways and the questions feel very comprehensive. I would like to see more coding challenges (take home examples) attached.,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
The sections listed in the book is a really good roadmap to prepare for the data science interview. There are lots of exercises that better help me understand the topic and how to answer questions. The solutions are pretty straightforward and clear! Strongly recommend this book! Wish I could pass the interview next week!,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
The best advice that can be given to ace data interviews.,5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"This book covers all the topics you need to prepare for your data science interview! Although the details are not very thorough, you will know what you need to study to find success.",4.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"Was a good hard-copy reference to complement online resources, very useful and had an appropriate depth for my entry level interviews.",5.0 out of 5 stars,Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street
"bought for my wife who said it is a great reference. she is a data analyst working on improving her skills. sorry, no particulars to pass on. although a bit expensive she said she felt it was worth the price and recommends it.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
This is the best data engineering book I have read so far. Great value as well.,5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"I really love the book, it’s helped me to learn a lot about data engineering, but it’s quite an expensive book.",4.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
I’ma data scientist. I got this for a book club at work. I am by no means a data engineer but these explain the concept “simply enough” that I know most of what is going on when the DE people are talking. We got to meet the authors so that was cool.,4.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"I work as a business analyst, working closely with data engineers. This book provided clear explanations of data engineering concepts and the data engineering lifecycle. I have a much greater understanding of data engineering and development than I did prior. This knowledge will definitely help me level up in terms of requirement gathering and project management when working on DWH and MDM implementations.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"An excellent opportunity to learn about data engineering. An interesting point of view of the field to juniors, tech managers, data architects, data people.This book offers a good balance between the main framework of data engineering to new concepts in the field.It is a gift to read Joe and Math, clearly the authors produced this book from their experience in the field.I personally love the third chapter about data architecture. Depending the business maturity, in a lot of cases we, as data engineers, must understand architecture concepts to design data products.Another thing that I liked is the theme approach and that at the end of each chapter (who will you work with) they adopted an approach from dataops, architecture, security, orchestration.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"This publisher consistently releases, good technical textbooks in reference materials",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
No vale la pena,3.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"Whether you’re a data, analyst, scientist, or engineer, if you’re working in a cloud data warehouse like BigQuery, Redshift, or Snowflake, this book will 100% help you think about your work at a higher level, and will help you think through some key design considerations as you’re building, queries, data, pipelines, and systems of those twoReading this book has been a pivotal moment in my career, and I really enjoyed Joe and Matt’s comprehensive yet conversational tone",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
"This book does a good job of informing a person on technical subjects without reading like a reference manual. As a working data engineer, I would recommend it for people just starting out in the profession as well as seasoned professionals. People with less experience might want to skip around to subjects that are particularly interesting, but for those that have a base understanding of most of the topics, it is fine to read end-to-end.",5.0 out of 5 stars,Fundamentals of Data Engineering: Plan and Build Robust Data Systems
Interests,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"Presents mathematical concepts in an approachable way that is actually applicable to DS. When they told you the math would be useful some day, this book actually points out why in terms of DS problems.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
Comprehensive material.  Using it to get smart on the latest data science work.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"This book gives a simple and methodical background to the use of math in DS. The author makes sure that there are no gaps in the introduction of math knowledge of the reader when explaining the algorithms. This book makes you appreciate the theories behind DS and ML.The final chapter discloses the reality in the demand vs hype of DS skills, which is honest and valuable.Few errors in the narrations which should be fixed in the next revision.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"This is one of the best books I have read, really explaining the fundamentals of math like never explained before. I am also making by teenagers read this book to clarify some concepts and develop more interest in mathematics. I highly recommend this book.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
All math equations are broken in Kindle edition. Unable to read them on kindle scribe. Returned the book. But please fix it.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"Since I retired over 20 years ago, I lost much of my familiarity with mathematical and statistical concepts.  This book provides a good review of those concepts and made me happy to visit them again.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
I really enjoy the break down of the concepts and how they are applied in Data Science.,5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"I didn’t think it would be a book on math. Several attempts have been made and in my humble opinion all have failed.If you don’t know algebra, you won’t learn it here.Plus, most of the book is about analytics, not math.And most frustrating, nowhere does it tell you why math is important.  Frankly, I have rarely needed it and this book shows me no reason to learn it.",3.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"My team references this book often when explaining why they formed a conclusion from data.  It's core to our business and this book outlines so comprehensively the methods of doing it right, identifying bias, and ensuring our conclusions are accurate.This is not a how-to book.  It's not even a book on math, really.  This is the ""why"" behind working with data.  It is the definitive handbook on data that every data scientist, analyst, business manager should understand before working with data.If you work with data - and just as importantly - if you rely on a team that works with data, this needs to be on your bookshelf.",5.0 out of 5 stars,Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics
"It's an excellent, even mandatory book for your Data Science shelf.  I am glad I bought it.  I am 67% of the way through reading this book.  It has nowhere near enough material on some areas, though, and is just missing some material that you need for DS.  That's actually OK because of course no single book is enough to cover everything you need to know in a field.  Look how many books you may have bought just to get an undergrad degree, and I bet it was not just one book.So here is a list of good and bad about this excellent book.Its good points:The profit curve.  After reading this book, I will never use Accuracy to select a model any more, as that's nearly a worthless metric especially when there are marginal costs and marginal profits involved in an application scenario.  The book is just amazingly good on describing how to select models based on estimated profit, and foremost the profit curve, and selected other supporting curves like ROC area under curve.The expected profit computation and the cost-benefit matrix as a partner to the confusion matrix. This is great stuff.  It's not even described in other data science courses that I have taken.Other good points:  ...And don't worry about the other good points (there are some). The profit curve analysis, and the lead-up to that, are superior.Its bad points:p.224: ""We will train on the complete dataset and then test on the same dataset we trained on.""  What follows next the rest of the chapter is just an inappropriate error analysis, because it is overly optimistic (but otherwise the techniques are great.)  The models have seen the training data.  We should never completely assess (test) -- and base the entire remainder of the chapter material -- on error (accuracy) estimates produced from data that the models have already seen.In most chapters, there is just not enough detail in the material, to enable this book to be used as a ""correct reference"" basis against which to write your own working code as you follow along with the text in whatever computer language you want to use for analysis.In summary:The book is outstanding.  It is necessary for your DS bookshelf, but on the other hand it is nowhere near sufficient.The data science course sequence by Johns Hopkins University identifies many of the elements of a nice overall outline as to what DS practitioners need to be able to do (and this is not even sufficient either):Reproducible research; Experimental design; R programming (or python, or perhaps SAS or Octave, but some mathy language for sure); Exploratory data analysis; Regression models; Statistical inference; Practical machine learning; Scientific writing; Developing data products; Big data techniques (e.g. Apache Spark programming or at least MapReduce-style programming); SQL and NoSQL databases; Concurrent, distributed, and parallel programming; Advanced statistics (such as multiple testing corrections).This book by Provost et al gives just a part of the necessary DS material.  However the part it provides, is essential.  I wish the biological data scientists in academia would adopt and integrate the cost-benefit matrix idea and the profit curve idea into their model selection techniques instead of just using the accuracy metric mostly.Also a data scientist could do several follow-on added-value extensions to the profit curve chapter.  You could produce Revenue curve (or Cost) since sometimes that matters more.  You could quickly find alternatives which are nearly equi-profitable to the optimal profit but which exhibit (less revenue, less cost) or (more revenue, more cost).  You could detail the model selection and profit consequences of fixed budgets.  You could further assess the implications of marginal profit analysis on the optimal quantity when the profitability ratio changes.  You could directly assess the data science solution against the best business wisdom solution and estimate what amount of profit is lost when using the old business wisdom decisions.  It's a testament to this book's strong value that you can do a lot more based on its material.Nice work.  Recommended.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Data Science for Business by Foster Provost and Tom Fawcett is a very important book about data mining and data analytic thinking.  In 1971, Abbie Hoffman shocked the world when he demanded hippie readers (at the time, a likely oxymoron) ""Steal This Book"".  While I wouldn't go so far as to encourage current and future data scientists to shoplift, I will demand that they READ THIS BOOK!Not long ago, data was difficult and expensive to come by. Today, we're living in a world of far too much data, vast amounts of cheap computing power, and way too many poorly defined questions.  Mix them all together and you're guaranteed to make a mess.Going from data dearth to plethora presents substantive issues.  In business, the balance between gut feel decision-making and analysis paralysis is changing, rapidly.  Whether it moves too far from gut to paralysis, only time will tell. Through Data Science for Business, Provost and Fawcett offer practitioners a guide to equilibrium.Read this book and you'll find yourself moving briskly down the road towards data analytic enlightenment. While not highly technical, the authors covers each topic with enough rigor to appreciate the tools being presented and the insights being offered.From the outset, the authors are clear about the book's objectives: ""The primary goals of this book are to help you view business problems from a data perspective and understand principles of extracting useful knowledge from data.  There is fundamental structure to data-analytic thinking, and basic principals that should be understood.  There are also particular areas where intuition, creativity, common sense, and domain knowledge must be brought to bear…  As you get better at data-analytic thinking you will develop intuition as to how and where to apply creativity and domain knowledge.""This paragraph makes me think of all those undergrad and graduate students studying Statistics at Universities all over the world, my daughter included, who are being bombarded by one math or statistics class after another (Calculus III, Math Stat I and II, Linear Algebra, etc.).  Yet, far too often, they enter the real world lacking ""data analytic thinking"" or a sense of ""basic principals""  They do, however, have a sense of being overwhelmed and under prepared.  The epic battle between ""frequentists"" and ""Bayesians"", takes a back seat to what should be the real controversy in statistics departments around the world, the balance between ""application"" and ""theory"".  The book's ""primary goals"" should be the walking orders of every statistics program at any college or university anywhere.From the outset (page 2), the authors state,  ""Data mining is a craft.  It involves the application of a substantial amount of science and technology, but the proper application still involves art as well."" Absolutely true!  It's great to read this stuff!  This is followed by a concise discussion of CRISP-DM, a well-defined data mining process, whose concepts are elementary, essential, and integral to the responsible, proper, and successful practice of data mining.From this point on, the authors proceed to accomplish their primary goals.  They present such topics as predictive modeling, correlation, classification, clustering, regression, logistic regression, linear discriminants, and much more.  Their presentations are user friendly, their real world examples are interesting, and their guidance and insights are extremely valuable.My criticisms are limited to their website.  The Data Science for Business site leaves me wanting more real world examples to enjoy, access to more resources and tools of the trade, more references to peruse, and a more rigorous approach to some of the solutions.  Perhaps Data Science for Business the sequel is on the horizon?Whether you're a seasoned statistician (or, data scientist), a young aspiring novice, or an adventurous business person looking to expand his/her horizons, Data Science for Business by Foster Provost and Tom Fawcett is well worth the price of admission and the reading time you'll invest.Foster Provost and Tom Fawcett state, ""[i]deally, we envision a book that any data scientist would give to his collaborators…""  I'll do them one better, I'm giving it to my daughter!",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
I’m very disappointed about book paper and printing due to low paper quality and pain black and white. Actually I bought this book as the color help me to recognize graph and enhance my understanding.,3.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"This book is so good I've added it to my Top 10 technical/business books ever read. My son gave me his copy and said ""I kept seeing this book on the desk of people I respect"". I'm currently on my second reading of the book in order to reinforce the concepts, and I bought a copy of the book for someone at work.So what's so good? The book is really well thought out and the grammatical style is top notch. The book leads the reader into some fairly complex topics without overwhelming you. That being said, some of the algorithms an statistical models can be a little daunting, but the book is designed to introduce the reader to a range of tools and models and not to make you an expert overnight. I found the book to be both pragmatic and concise, while covering a lot of ground. An excellent text for someone who is interested in the background behind many AI and machine learning algorithms, and are looking for guidance on when to consider different approaches. Highly recommended, particularly for folks like me, who have dabbled in ML already and are looking to take their knowledge of Data Science to the next level.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Context: I'm an MD, needing to communicate with data scientist to build a product.I've this far only read two chapters. My pattern-recognition ;) this far however, with an assessment that this will be applicable to the rest of the book is two-fold:1) Too verbose!Too much stuff on explaining the structure and purpose of the book. Could've been said way more succinctly, and therefore more clearly. The effect is that I start skimming.2) Not 'sharp' enough.The best non-fiction written for non-expert manages to reduce the complex into explaining the essence. Not making it simpler, and reducing crucial comprehension. But reducing the complex into its crucial essence.When going over different types of tasks; classification, regression, similarity matching, clustering, co-occurence grouping - the way they are described, there is essentially no difference between i.e. clustering, similarity matching and clustering; they're all classifications - yes, there is a difference between regression.In order for this to be truly helpful even for an absolute layman as myself, it needs to add enough crucial, essential distinctions to make the categories mutually exclusive. I can think about it, I can look it up. The book would however been better if the information was more 'sharply' communicated.So why 4-star?Because it is a beautiful balance for the amateur. Explaining basic concepts instead of trendy-applications.For future versions though, correcting for verbosity and greater specificity (essence) will make it a true winner.",4.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"This book is ideal for anyone looking to understand data science, and especially those who might interact with data scientists at work.  Roughly half the book deals with the essential data mining algorithms. The focus is on understanding what the algorithms do, not the details of how they do it, so implementation details are omitted. The math is certainly discussed, but kept to a minimum, and coupled with comprehensible, plain English explanations of each algorithm. Each chapter includes a case study illustrating how the algorithm can be used for a real-world problem.The other half of the book (interspersed between the algorithms) deals with issues relating to design, implementation, evaluation, and deployment of models. Without understanding these crucial ideas, the algorithmic knowledge is useless. For example, the right and wrong techniques for evaluating model performance are discussed at length. A businessperson without adequate background could easily be misled by certain evaluation metrics, and the reader is taught to evaluate model performance with a critical eye.  There is also a chapter on evaluating and critiquing data mining proposals, which nicely ties together the algorithmic, business, and practical concepts discussed earlier in the book. Some case studies are revisited in several chapters at increasing levels of sophistication, making the book feel like a cohesive whole rather than a mere compilation of chapters. If you’re coming from a technical background, you will learn a great deal about the business and practical/implementation aspects of analytics. If you’re coming from a business background, you will gain an understanding of what your data can do for you, and how to use it to your benefit. The book is an intense but very pleasant read, even funny at times. Highly recommended!",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Data Science for Business is an ideal book for introducing someone to Data Science. The authors have tried to break down their knowledge into simple explanations. I am skeptical of non-technical Data Science books, but this one works well.In the beginning we are shown the motivations for Data Science and what fields they apply to. Some examples include movie recommendations, credit card charges, telecom churn rate, and automated analysis of stock market news. The book avoids going into the highly technical parts of creating the system but gives you links for where to go.They do not really reveal the whole Data Science stack. For example Hadoop was mentioned as an implementation of MapReduce but they said going into Hadoop configuration would be too detailed for this type of book. I tended to agree, and even being a progammer myself, I thought they made the right choice to leave that out.Where the book shines is in the explanations. I am very familiar with expected value calculations and there was a chapter on this. It was a much better high level discussion than I have seen elsewhere, and they mentioned possible pitfalls of the expected value framework.I liked that the emphasis was on deciding what problem to solve in Data Science. The title of the book is appropriate as it is not just about analyzing data, but figuring out the business case. If you are new to Data Science or looking to get a high level overview this book is an great place to start.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Foster Provost and Tom Fawcett are known for their work on fraud detection, among others. I have recently read their last book, Data Science for Business – What you need to know about data mining and data-analytic thinking. No suspense: it’s one of the best data mining book I have ever read. Its style allows the book to be read by beginners, but its wide coverage and detailed case studies makes it a reference for experts as well.As the title suggest, the book has a real focus on business with plenty of industry examples and challenges. The style is very pleasant since authors have made efforts to put the reader in specific situations to better understand a problem. To be noted the very interesting discussion of data mining leaks as well as data mining automation. The book is divided by concepts and provides a focus on them (instead of techniques). Although no exercice is present, the book could easily be used as a resource for a course.Each chapter is clearly divided into basic and advanced topics. The evaluation phase of the data mining standard process is deeply discussed. The section about Bayes rule is very well written. Data Science for Business is also an excellent resource to avoid data mining pitfalls. Chapter 13 is a must-read in order to understand success factor for implementing data mining in a company. To conclude, targeted at both beginners and experts, Data Science for Business is the new reference for data mining professionals working in industry.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Needless to say, it's the best book I've ever read that perfectly combines the technical details and high level intuition.""Big data"" might sound daunting recent days since AI, machine learning, deep learning based applications are in wide spread whenever you open your browse, turn on your cell phone or etc. But you will feel much less whelmed by reading this book. It provides you with a unique experience in that it bridges the practical business problems and machine learning models.  Roughly speaking, most of books I've read are short in either of two domains: interpretability and rigorousness.  This is fills in the hole pretty well.If you are a data science manager and want to better understand what your team members are doing, this book gives you a snapshot. If you are a data scientist with years' training in statistics and computer science, this book can help you develop your understanding of the business problems in practice and offer you a different angle of analyzing them.In conclusion, 5/5 star, a must-have book that should be on the shelf of each other wants to work in the data related field.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Excellent discussion of data science methods without excessive focus on mathematical elements.  These are included at a level that can be understood for the skilled marketer who has background but does not wish to go deep into the math.  The coverage is broad with both supervised and unsupervised methods in data mining.  Topics cover tree models to logistic regression, to scoring.  A discussion of holdout model tests, prediction & validation.  Particular emphasis is placed on how to frame questions to apply to the business case so suitable conclusions can guide business decisions and strategy.  You will get the sense that the authors are battle tested veterans of the data mining business and have applied their creativity to a broad range of business, data and technical challenges.Only two caveats to this book.  First, as purchaser of the kindle edition, I found the equations included in the text were sometimes very readable and sometimes the type was so small as not to be legible at all.  Be warned.  If you intend to follow the math that is included, perhaps the paper edition would be best.  Second, this book does not dwell on the statistical packages that can be used to support data mining efforts.  If you are interested in exploring these methods in practice, you will need to look further.",5.0 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
"Did you see something on the news about ChatGPT, Stable Diffusion, or some other big development that made you want to look into machine learning?Maybe you truly plan on entering data science as a field but don't know where to start?Or perhaps you've seen one of the author's brilliant/hilarious talks about why he doesn't like Jupyter Notebooks or how to answer the infamous ""FizzBuzz"" programming interview question using Tensorflow neural networks (seriously, look up Joel Grus on YouTube).If you know a little bit of Python, a little bit of relevant math, and want to go into any data science or machine learning path, then this book is a must-have. It certainly won't be the only resource you'll need, but it helps you get the most out of other content you'll likely look into later (like how to code up a machine learning pipeline, or maybe a large language model if you're really adventurous).Far too many machine learning lessons out there just tell you to import certain Python libraries (scikit-learn for example) and start using them without giving you any basic understanding of how those imported functions even work to begin with. Even to this day there are still college courses and coding bootcamps that ask you to download a Jupyter Notebook file and just hit ""Shift + Enter"" and look at the output.You're not going to learn how to code that way!!!Joel Grus does an excellent job of filling in this gap by teaching you more Python than what a statistics professional would usually know and more math than what a typical software developer would know. And that's key if you want to go into a field that relies on both.All the information for Python and math that you need to get started is here. It's 27 chapters that get you familiar with Python and how to use it, as well as the math used in data science and ML (linear algebra, probability and statistics, algorithms, etc).You eventually learn enough of both as you go through the chapters to start applying what you learn for some real-world usage.I've had this book for years and it's still as useful as when it first came out, but the only exception I've seen is that the Twitter API tutorial in the book no longer applies to the paid format that Twitter now uses to access that feature. The tutorial is still good for learning how API's get put to use.Once you've read this book and have gotten familiar with all it has to offer, your next step will probably involve looking into a book about how to actually use pre-built data science libraries (like what you find in the Anaconda distribution of Python).This book may turn out to be heavily responsible for my first startup, but that's a story for later.",5.0 out of 5 stars,Data Science from Scratch: First Principles with Python
"In my personal opinion, this is a book to bridge the gap between an experienced mathematician/statician and practical machine learning. The book is more focused on describing how to implement mathematical formulas in Python than to actually explain the math behind it.I am a proficient Python Engineer and I can read the code and understand what is being done, but the author makes no effort to explain how it reached to that conclusion, or why it matters. The author does implement the mathematical formulas in Python skillfully, it misses the point of the book though.Another big problem with this book is that it assumes you can learn mathematics by just doing mathematics without understanding the why. It is frustrating to read and follow the author implement mathematical formulas without explaining why. I believe this is the case because the author DOES assume you have the required math to follow the book. I believe the author should add a section in the preface that list the prerequisites for this book:- Linear Algebra- Statistics- Probability- Vector Calculus- Continuous OptimizationAbove all, it is a good book if used as an index on where to start to understand Data Science, but it definitely doesn't fulfill the promise of being ""from scratch"". From scratch IMHO means you dive into the internals of Data Science algorithms. I had the expectation that this book was going to be more like ""Designing Data-Intensive Applications"" for Data Science where the ""why"" is as important as the ""how"". Data Science from scratch is a book about the how, with no effort to dive into the why. The book does provide the vocabulary for me to discuss Data Science with practitioners, but I didn't feel it got me any closer to becoming a practitioner myself.BTW, the fact that book is monochrome doesn't matter the font and figures are very clear and readable.",3.0 out of 5 stars,Data Science from Scratch: First Principles with Python
"Let me start this review by explaining clearly who this book is for: anyone who has had some form of introduction (even if concise) to programming in Python, algebra, statistics, and probability will find this book a great introduction to Data Science. While the author does a great job at having a crash course on these topics (and I even learned a thing or two here and there), I can see the contents being a bit overwhelming if this is your first point of contact with these subjects. However, should you meet the requirements I mentioned above, you'll find this book a breeze! Joel does a good job at explaining the topics using his signature brand of humor, keeping the read entertaining even in the most advanced areas.  I'd even say that this is a must read if you are considering going into machine learning, since it teaches you a thing or two in the topic as well.  Please keep in mind that the book is monochrome. If that bothers you, consider viewing the electronic version.TLDR: If you're looking for a concise introduction to data science and have a bit of knowledge of basic Python, algebra, statistics and probability, look no further than this book! Otherwise, come back once you've picked up those tools and you'll feel right at home :)",5.0 out of 5 stars,Data Science from Scratch: First Principles with Python
